label_gang_mem_list,pred_gang_mem_list,jaccard,subgraph_gang_label,subgraph_node_map
[],[],0.009900987148284912,0,"['963883819', '2971147028', '2261251480', '754596975', '2798044317', '2808207137', '3387639096', '3405864736', '313488681', '1704007065', '2418514049', '1761893018', '2956329927', '738651114', '51343818', '2453940715', '3409458699', '1549200919', '1548637898', '616585634', '10856424', '2617807056', '370091086', '1315627233', '351959628', '1695477822', '2718323016', '1956096716', '2238159880', '1896716465', '2322181215', '853518742', '1112842411', '2345692405', '2198431941', '2886562370', '3159090969', '1524840715', '2011802228', '1705291184', '2777817322', '2855912223', '876890740', '3682229479', '1877655528', '2132555558', '1170301513', '3149171055', '2470322366', '3043052499', '1492065141', '2117354166', '1821498540', '1819293701', '916223836', '1859317966', '1394148172', '388212154', '1756294310', '1081899106', '432501799', '3363577571', '2905505327', '2232772214', '86747956', '2892294725', '4118595148', '1061442963', '2884295012', '1976087079', '2447321437', '1547715382', '2601237423', '2267421652', '2436681113', '2315541738', '395394240', '3317215022', '2624082107', '437282324', '1478960494', '619803067', '2340170246', '1613055737', '2120941882', '2933934328', '693832965', '621696383', '2276147115', '2159540286', '1551763068', '1038821940', '114420233', '2846982640', '2153956319', '982554708', '611272954', '150028377', '1230069636', '1361046465', '3311307647']"
[],[],0.0,0,"['744158450', '869929186', '1827948833', '2853886538', '1460516303', '3727116434', '2210077325', '2685730664', '1262743937', '3127047100', '1414102469', '3134964485', '107478528', '3679701969', '1768360422', '2275732712', '93060378', '823691673', '2244974053', '2791884419', '1516820201', '1434788735', '541539465', '2172527612', '1687880325', '689114822', '673220687', '90441347', '3613260921', '2372196694', '238266537', '3674612977', '714868021', '364886589', '2586876317', '3690028474', '2999847505', '1026403743', '2853575413', '3697505876', '1407227792', '2475703440', '1558055043', '2226862514', '1580280130', '2079652246', '1674259703']"
[],[],0.0,0,"['1183258220', '854160100', '1105022701', '638312083', '988645037', '940972864', '2685636531', '402426582', '2980540023', '382308515', '869260962', '2300455327', '1477682807', '2824709520', '1277334634', '2768106813', '2724790351', '1982126029', '812694700', '3644264014', '2613059101', '207439198', '1194169717', '871233526', '1590571139', '1705458143', '1574530583', '1102029867', '1532154113', '687742913', '1382351205', '4033813973', '233101954', '1013179014', '2974311511', '2722995723', '1925212417', '1525684245', '3188077065', '1316531763', '269973535', '2401892629', '3469067207', '2803034526', '1047474130', '1684904744', '1361614216']"
"['685091341', '998966809', '4120580452', '2617025730', '1492320165', '1525974243', '61550919']",[],0.0,4,"['685091341', '998966809', '4120580452', '1089648054', '2020245141', '1597949535', '1151302076', '1632644384', '2617025730', '3151783389', '1492320165', '1525974243', '3389543899', '61550919', '2988324158', '934783004', '1892977267', '1792823443', '1556256788', '1773434599', '3488953817', '3789668710']"
"['882977157', '1629834945', '2070858124', '2463510109', '1414658055', '4074328524']",[],0.0,4,"['882977157', '13354983', '1629834945', '2070858124', '2601637429', '17560810', '2463510109', '1414658055', '1560210510', '4074328524']"
"['4088018464', '2570991719', '317606423', '2773552835', '4161176699', '2169325027', '2603796271', '706244560', '2436930074']",[],0.0,4,"['4088018464', '1945730836', '2570991719', '1006110736', '1077444426', '2468985937', '317606423', '1338938495', '2773552835', '929106213', '380648174', '3417072693', '3122818423', '834881260', '667523567', '2452312727', '2351979844', '145638945', '2494193102', '817697582', '1490189178', '27662251', '4161176699', '2169325027', '212908441', '2640107542', '2371761615', '4157011040', '2603796271', '805880681', '1511466018', '1656426389', '706244560', '2436930074', '152111052', '599489776', '775351700', '1327642151']"
[],"['1045322295', '1517714542']",0.019801974296569824,0,"['880605963', '880604323', '311574186', '35738423', '1045322295', '1517714542', '46139106', '4006732448', '2525935914', '2325923130', '388404538', '359261981', '3368416702', '1323563698', '1063879030', '1498854196', '3611760416', '766857975', '2177748014', '2537698777', '2359016852', '1852413033', '2962389636', '1278227384', '2487084400', '2310882200', '2156527208', '2348832310', '3154095018', '254629016', '1847020972', '3147232730', '1028545173', '430235582', '1916531552', '864172436', '409924948', '813483070', '2315835306', '2493976062', '873553100', '2688050826', '2262161081', '3310362814', '2649592039', '2241272643', '4045600436', '1071558960', '151102710', '2629974913', '610554438', '687151881', '2878931534', '3055637362', '1089942911', '1209659919', '457070514', '1204045558', '1580076890', '3720211600', '1217123191', '780428755', '4061175081', '1646864220', '614294402', '1242931529', '2093613632', '1035179681', '3173645431', '272957340', '139232955', '255251204', '735959539', '159712712', '2222507467', '1658189203', '3389936798', '169044699', '3176318063', '2530373037', '830960827', '2770046942', '477489598', '68905151', '1095179182', '1553081641', '1336439216', '2200522261', '3113666011', '3368699787', '434740996', '2766509881', '1250210474', '919474243', '1454964419', '946387704', '632922406', '644187686', '257309070', '899014408', '2682803232']"
"['2403889122', '2871916622', '373027203', '1501179105', '3651643205', '199326624', '2749398159', '2447936264']",[],0.0,15,"['2403889122', '2871916622', '3631803858', '373027203', '2080468874', '2943696532', '2807144006', '2376433104', '1501179105', '4096584548', '3651643205', '1933927124', '846519274', '199326624', '2749398159', '1408613353', '2447936264', '2751525726']"
"['4140372785', '3431475083', '1168664111', '3673720069', '2077488894', '2778268552', '2608890946', '3656894836', '909377449', '780048542', '1942255627', '2410838469', '950313811', '2587669841', '648426244', '1394498888', '4000928362', '647264792', '691137199', '1336469310', '4129444497', '1464683155', '1378335729', '546654557', '4096310562', '1246769412', '1342573847', '1497106259', '2490920672', '1757204846']",[],0.0,8,"['4140372785', '3431475083', '1168664111', '3673720069', '220415784', '1744950406', '3759361539', '114693894', '2077488894', '1854629757', '966515293', '3703524501', '2778268552', '629975938', '4048879721', '451182012', '1980850821', '2608890946', '1940267914', '800142653', '965781159', '134040808', '751570302', '1620064563', '2697110266', '2659301775', '438001225', '3423747162', '1565303446', '956513423', '3656894836', '1371759996', '387926825', '909377449', '1364870058', '1988591463', '780048542', '1942255627', '2410838469', '950313811', '722274145', '122191331', '2587669841', '2806830179', '2452863211', '2426451763', '1986872139', '1859798558', '648426244', '2165738269', '3057209648', '1394498888', '4012580913', '2184119703', '4000928362', '4028793655', '647264792', '1896434269', '4016637583', '93110904', '1194220779', '4046624546', '1619625391', '691137199', '3613243947', '927657892', '423925487', '4073307094', '945954662', '2692462303', '1832809646', '1336469310', '4129444497', '1464683155', '303158484', '1680722731', '1378335729', '2842435381', '3324986581', '1722335922', '546654557', '3384754988', '1797108099', '4096310562', '1246769412', '591458429', '2363292404', '889427793', '4102773445', '1342573847', '1497106259', '82851802', '1954702855', '422821672', '3437270581', '2810181435', '2490920672', '4135587804', '1738219462', '1757204846', '4026110635']"
[],[],0.0,0,"['2159554165', '3388020712', '1713743762', '3312891268', '402005143', '1342052569', '1677623192', '1429832354', '3366539412', '2621804346', '55594988']"
[],[],0.009900987148284912,0,"['1226131933', '1602199473', '2113490080', '1464664006', '2745071110', '716713720', '1617108126', '411706247', '2143502127', '2851101183', '1901701643', '1494769241', '373960415', '1849876002', '1799976821', '1336879135', '2149755026', '281744520', '1385482441', '2288352416', '1493209310', '1765121701', '1501016109', '2756813221', '729213532', '2172573582', '4054278936', '1547190008', '2717556627', '579428215', '1856553706', '1001260962', '2164597738', '1203058824', '2503582182', '2455675612', '813425778', '2675320617', '2832976622', '2637928018', '2423210200', '1741066916', '1603003315', '2319148243', '569224015', '255932225', '2684072407', '1760051071', '1675941711', '152407156', '970050080', '1783519829', '2299913219', '3153177368', '1781675424', '1257293064', '2087174320', '1829724815', '2337349333', '956294701', '758669708', '1245241931', '19096055', '2059840012', '1086809500', '2117231706', '326699122', '1080685362', '1864104324', '3134453086', '2020573419', '876939784', '784131762', '757952500', '1812765334', '1045303414', '1635099069', '643584322', '2590749841', '2684264505', '967241027', '2334916438', '1101310184', '262389415', '3103002817', '2180372310', '2461235384', '1983589135', '1573016480', '638431840', '840247039', '3137135945', '562303808', '1746559535', '2713519640', '2969754080', '1047987264', '177515743', '1933356607', '2379433900', '3399616126']"
"['4094568020', '4133072837', '596909319', '1081879389', '3364826477', '4139680836', '753453958', '4140213749', '1253483785', '263357680', '1163991742', '869790596', '3757594724', '2525829053', '2859857078', '3164487741', '4133665335', '3414808615', '4038710252', '3334654529', '1426682856', '4114447779', '4162369301']",[],0.0,6,"['4094568020', '4133072837', '596909319', '3329043054', '1081879389', '4086340759', '2182844998', '4000787441', '2098831749', '3364826477', '223985153', '2827589902', '1986879666', '3054348907', '4139680836', '1316484649', '938970034', '753453958', '2607458040', '4140213749', '4008485224', '1253483785', '2981116308', '263357680', '1711246812', '4087196037', '4101616481', '1163991742', '2155861239', '310224965', '1515972254', '69999798', '869790596', '1326640380', '3757594724', '3107483091', '2525829053', '1245627234', '2859857078', '218781930', '1701385429', '3033841068', '3164487741', '4133665335', '2619685832', '1014439086', '212385972', '602616968', '4093030765', '1518273689', '2252190249', '3414808615', '960631959', '582245672', '329338769', '4038710252', '3407399741', '3334654529', '1426682856', '242607841', '2645759656', '1857368033', '2644630465', '4104713141', '700121846', '1498450946', '769945477', '1722846609', '3331935333', '4102267411', '2061835265', '2125992360', '1292612679', '1706882591', '4107391299', '217348965', '3334961685', '2669645069', '776662182', '717332464', '4114447779', '1315268528', '101398381', '532989033', '4061416537', '605728111', '4162369301', '977466998']"
"['2059157896', '3642358056', '1017815428', '4103780708', '157779949', '1722422715', '3664281206', '2172344655']",[],0.0,6,"['2059157896', '3642358056', '683974629', '2147520263', '1970793429', '290201330', '1786901499', '922832248', '1444048820', '1031536848', '1479504012', '956276822', '1387798074', '1982491410', '681171567', '530947220', '554319227', '1911323267', '1290819072', '4042860334', '1763521217', '2410783547', '174338216', '1038756654', '3362486151', '3110481749', '1124405095', '1017815428', '2655655962', '1431774621', '4103780708', '157779949', '4162066061', '2566088358', '2273970656', '1603687841', '489360076', '2526283140', '1617589578', '1722422715', '2009268343', '4118969016', '3381409053', '2171850072', '1952337282', '3664281206', '3615774080', '1037508306', '2172344655', '2545247260', '3136782350', '2303494905', '3038793492', '2985254302', '1619697062', '3441722946', '1287507121', '1934760782', '1968930180', '4034131802', '1123593273', '1637481524', '2172149665', '302613354', '1090681594', '997353184', '3062309180', '250051316', '1491941105', '828984310', '2571625738', '1361175154', '2940161542', '32410650', '2193891026', '2206643561', '1507947876', '858048778', '2361308800', '1701934408', '2178544932', '919755581', '3644539586', '204259828', '1018960354', '1620812976', '1920815950', '1970240173', '1541337741', '1141295281', '1796616039', '1502301558', '1800277257', '4019289281', '592530361', '2896714905', '811995717', '4119190427', '446411065', '284790329', '1275505383']"
"['2028381021', '3799041449', '2838032833', '3038724703', '1692848487', '222727449', '1475300559', '3314214061', '1326715012', '2152271733']","['1149218717', '3799041449', '2838032833', '222727449', '1326715012']",0.3636363744735718,3,"['2028381021', '1149218717', '546566480', '3799041449', '2838032833', '3038724703', '1475474360', '1692848487', '222727449', '1475300559', '2899735638', '2466923580', '3314214061', '1326715012', '2152271733']"
[],[],0.0,0,"['1863647369', '1187870700', '1769971580', '2821303181', '24113577', '1720247020', '1271028418', '1294759233', '549897332', '2635287208', '1478531123', '946353363', '2483475112', '2779507503', '2969299519', '1288142315', '2739398540', '2065350741', '1129347138', '1706318454', '656340721', '2414191483', '3167010490', '2257590403', '3314060815', '2811822230', '1089192302', '1352144509']"
[],"['792160209', '2183795145']",0.019801974296569824,0,"['1076679820', '1606580336', '2541656103', '792160209', '879272801', '965075310', '2183795145', '1202280200', '1286305831', '817588332', '236160910', '2315461359', '1606743416', '3626360409', '1789252848', '3689204885', '2360555427', '1496531701', '2546182022', '1997772769', '603981838', '2375792156', '296328596', '1088899244', '390090487', '2302243939', '2665324832', '1682848110', '1587357335', '4080772460', '1229393244', '374613089', '3760081246', '2316527618', '1164153267', '613479821', '438218495', '2477053725', '2463523937', '2683393521', '927456648', '2136825287', '2299010613', '2109645874', '1404871169', '2985013573', '2205251677', '2047000661', '2293500774', '3788580616', '470362527', '1294895000', '31702967', '2731183903', '2089417234', '2184360294', '1921077234', '2753937181', '2436930327', '2271653617', '2024598121', '2930570614', '910097281', '1727071435', '2747552560', '2452703983', '1901946543', '127896347', '1869118118', '2847943362', '331418690', '1817283302', '467495337', '1911037631', '1383370552', '1328028935', '724250266', '2802838026', '250341395', '1015220206', '2290100223', '1416742338', '512521340', '689135662', '1856357404', '2127577857', '2308097641', '585355621', '2915879532', '2054263276', '2324814481', '80811655', '2970906432', '1183503414', '1565657283', '1638483200', '41641244', '2004524521', '101098194', '678169524', '2818957660']"
[],"['1461906030', '2244084601']",0.05882352590560913,0,"['757180782', '1384492524', '2760090520', '2345226405', '1461906030', '3440011460', '691938434', '1600916242', '929416800', '2017181601', '2244084601', '3320212562', '279692889', '957334330', '1298976277', '2162270475', '14784713', '393775266', '2677248012', '2575493581', '1450953438', '1684909100', '2762582200', '4045310083', '845181084', '1177055518', '1300489577', '2044591179', '668259233', '1425449682', '2751602844', '2357349361', '2565660981', '878495207']"
[],[],0.0,0,"['1174471315', '1242301880', '2485665530', '1407603041', '1779155640', '961477218', '605423830', '707673725', '2302878303', '623210066', '1371098281', '3313254396', '1306422868', '2151238306', '1871156805', '311486541', '818696371', '2377183623', '1248206463', '819458821', '1548445402', '1037009530', '2453445135', '978730306', '661453780', '23885242', '1408425162', '204498880', '2576324940', '2282681124']"
[],"['1098983911', '2981383643', '2726964800', '367119818', '117292320', '1261298430']",0.05940592288970947,0,"['1370039310', '215422535', '492816895', '1033826323', '1052104750', '1929741421', '1659197004', '2212863280', '2658449062', '1397037461', '2363295833', '1095637361', '1852496380', '2573125413', '1573047911', '945067904', '2047741543', '4162420903', '34833505', '2233299602', '775873722', '1175762880', '2775161702', '1330448721', '1737041880', '1983556420', '3048099572', '2294798634', '863998450', '854842480', '2801638669', '591237535', '543251702', '3143035621', '787189201', '1005430378', '4120189766', '1030825142', '970718110', '773485442', '2784238729', '2063870984', '894241472', '1808420362', '2834094780', '1946164910', '2662808625', '1861233981', '2275986121', '1002436780', '966325241', '2434389743', '2579813760', '1575169300', '86194545', '2554855032', '1927057631', '2061607110', '1625303260', '668481263', '2802002982', '600249717', '941521220', '2476296816', '705500564', '2059810908', '2244713360', '1008641382', '974114383', '1716110379', '3173503500', '2298324440', '27776635', '1604130830', '272387040', '2513193940', '2604346840', '2733422683', '1444238600', '793137700', '1774764961', '123533834', '1068823820', '2840535540', '2858024082', '668079705', '940763361', '1814355081', '1477053963', '1077905560', '1098983911', '781177828', '2981383643', '1417663260', '1225950442', '858504444', '2726964800', '367119818', '117292320', '2096425', '1261298430']"
"['737171009', '879419309', '2416455328', '3647143409', '1923457386', '916351836', '3647777114', '2955900947', '2640356634', '1615820711', '2108723723', '2567031846', '174475547', '95137025']","['879419309', '1516619565', '2416455328', '323424165', '1923457386', '3647777114', '2955900947', '2640356634', '2567031846', '174475547', '95137025']",0.5625,4,"['737171009', '404372337', '879419309', '1516619565', '2416455328', '323424165', '3647143409', '1923457386', '916351836', '3647777114', '2955900947', '3062556947', '1451883907', '2640356634', '1615820711', '2108723723', '2567031846', '174475547', '3646768807', '4029891765', '95137025']"
"['2417417880', '2708339323', '756858753', '3470903985', '2936624682', '1174214757', '642550444', '1580655091', '2986643300', '2321142057']",[],0.10000000149011612,7,"['2417417880', '2708339323', '756858753', '3470903985', '2455928246', '2936624682', '1174214757', '642550444', '309250418', '1242447421', '2776612469', '1580655091', '275161649', '2986643300', '2220010324', '3350733117', '3372638739', '2906397173', '2416575174', '2321142057', '2245722382', '1673861227']"
"['353458465', '600534744', '4125338133', '495623066', '3700210914', '2823299824', '2783985062']",[],0.0,4,"['2536043533', '3683590350', '2256462202', '1871444443', '353458465', '600534744', '4125338133', '1067653604', '423653656', '2275644668', '1044610308', '495623066', '1872823468', '1352399574', '3700210914', '89464156', '345652184', '2823299824', '2783985062']"
"['4041974851', '4031974143', '2766790162', '4030698828', '2960961607', '4046698355', '4110465220', '4089261290', '1789993658']",[],0.0,3,"['4041974851', '118061044', '4031974143', '2766790162', '4030698828', '578000672', '2960961607', '4046698355', '4110465220', '187837944', '1550663896', '221240875', '4089261290', '1789993658', '4114530162']"
"['1916097845', '4106352369', '3753596505', '1650951822', '4105341640', '3148271360']",[],0.0,2,"['1916097845', '3756134719', '4106352369', '41345956', '3637751206', '3753596505', '374628653', '3788979508', '3406251545', '3422075220', '1911544397', '2449749273', '517086315', '3372447518', '2083217631', '2150108151', '1121559187', '1556178537', '2124973417', '434626036', '893226524', '3139858690', '875460999', '3032231251', '4086159478', '2817781822', '2741646739', '1215686689', '1359880666', '2011670943', '136803989', '2771420064', '2302091945', '2071001861', '1921298415', '825771220', '1094311266', '1997150842', '1617609747', '2362453370', '211437611', '456228731', '2712211261', '1650951822', '701347774', '744604841', '1420542009', '2126416117', '1247597616', '2823595476', '481416241', '185297406', '2865029101', '1779037456', '744861163', '1044703445', '416793672', '4105341640', '292889915', '1978795082', '505385640', '3300827993', '3067012575', '3148271360', '1357548196', '2505382210', '1981240552', '1714009079', '1255138322', '97103186', '2490871344', '1543053020', '1720904016', '2047570124', '2098925919', '10256035', '3422166913', '2176761851', '3416262930', '1883200568', '1421562505', '1707280528']"
[],[],0.0,0,"['1805309260', '38662445', '2436506001', '2745113442', '197248600', '2487385853', '616376906', '1335510414', '2036449201', '2858374713', '818223340', '2476693860', '392357415', '1121249854', '834098600', '2557118627', '1137002880', '279645515', '3344144920', '356052195', '2487305237', '1792561613', '1741770907', '2697742561', '2769305240', '2061177982', '912972960', '4014551745', '2713185169', '2858199510', '774057600', '2227071689', '245845160']"
[],[],0.0,0,"['2812411814', '772843799', '2797710418', '3343242768', '2083394738', '1265047528', '1211540931', '2406890637', '1627509029', '381830843', '3630676453', '1041508633']"
"['4040921371', '4012207135', '992813487', '2713406963', '2697648577', '3612136828', '1599523883', '4122123404']",[],0.0,6,"['4040921371', '3133373756', '3669770037', '4012207135', '992813487', '4010600425', '1172873655', '3740979645', '2670009538', '1065152399', '1498398664', '2386068008', '4001282027', '2713406963', '381652597', '4119921229', '2579356446', '2697648577', '480385705', '1117798540', '3427026001', '4086251627', '3612136828', '1599523883', '3356146975', '4122123404', '1786949832', '201084746', '4063178908', '3039251939', '2159014012', '3424332350', '48456009', '922620782', '1026031529', '4118935559', '2471572374', '750663375', '507195404', '2270737367', '2037776954']"
"['204714252', '93239539', '3452179998', '1224066557', '658803481', '1494784179', '3441538964']",[],0.0,6,"['204714252', '93239539', '3452179998', '1224066557', '658803481', '1494784179', '324911625', '3441538964']"
[],[],0.0,0,"['2691488333', '1737781105', '1606127773', '930360164', '2827289201', '1393527338', '373106014', '641805835', '53365888', '1001105823', '3363349447', '1081945913', '614481032', '3375379138', '2227815220', '852374705', '888861810', '699606307', '3107574765', '1150684077', '952793556', '311925588', '3343438772', '3607889948', '642702110', '1668648517', '2843314308', '2122998650', '1057813601', '2320427985', '1930909183', '1062072412', '605125570', '1346041169']"
"['4039173544', '111246274', '2035957744', '501220067', '658247904']",[],0.0,11,"['4039173544', '111246274', '2035957744', '501220067', '806826641', '862216261', '2633574577', '2207097020', '1710173105', '1296196846', '1821814425', '909448757', '638045135', '658247904', '706111994', '1822829554', '3684913145', '2463988205', '3666336376', '1069919017', '1723659710']"
"['411417497', '3718947901', '1880305248', '839043507', '1008951189']","['3718947901', '1158484459']",0.1666666716337204,2,"['411417497', '3718947901', '2792392875', '1880305248', '839043507', '1158484459', '1008951189']"
"['2475926902', '1989901570', '983027324', '1347085135', '1011940503', '934346630']",[],0.0,8,"['2475926902', '1989901570', '1234143493', '983027324', '147894575', '1347085135', '1011940503', '128097549', '934346630']"
"['1510515001', '2572094027', '1798242741', '2313786027', '2902454939', '1656377770']",[],0.0,3,"['1510515001', '2572094027', '1798242741', '2313786027', '1814408237', '872978569', '231754571', '2501234715', '2902454939', '242383452', '1656377770']"
"['199894721', '865031810', '1537294593', '2450147323', '2814608445', '282506893', '3161846486']",[],0.0,3,"['199894721', '865031810', '1486037183', '391111109', '2602179061', '1537294593', '2450147323', '2814608445', '282506893', '3161846486', '2676302506']"
[],[],0.0,0,"['1780077840', '2238131105', '1763960818', '2372280216', '2267403612', '1874166530', '812212122', '1085205100', '2199021185', '1115429255', '2009658042', '1200816301', '1857045214', '2787419321', '1654586181', '937463866', '1297437836', '764234536', '1089538321', '1206778480', '2711130222', '2979244440', '2612512707', '2290899300', '1758500334', '988671000', '911531300', '2225061702', '1800327027', '2528934115']"
"['3032095062', '1742688875', '83498973', '3623788333', '274400864', '1027383464', '2180519372', '1819337272', '3797979122', '78586496', '2327144603', '3671154611', '1789934705', '3048963400', '3769887407', '2372102721']",[],0.0,2,"['3032095062', '1742688875', '761820711', '2496686410', '83498973', '880658196', '324590294', '305506409', '1780924014', '809801552', '3623788333', '1405638668', '274400864', '1370688378', '481052334', '1027383464', '1600365528', '3659315230', '1861878740', '2670931007', '2162367319', '2180519372', '2239398857', '1408577466', '1819337272', '3797979122', '78586496', '3648714042', '3392177687', '3424501469', '2856826408', '1091752578', '2327144603', '3671154611', '1789934705', '3048963400', '1804059838', '2189974728', '1046116601', '2414458704', '3769887407', '2991904612', '517794738', '990205309', '1342072618', '2372102721']"
